year,circle1_size,circle2_size,circle3_size
1965-1969,0.7310084388185648,0.07836497890295364,0.16741983122362875
1970-1974,0.7442098501070665,0.07512419700214135,0.1614197002141328
1975-1979,0.73118220338983,0.07438771186440678,0.17536864406779673
1980-1984,0.7479937629937627,0.07885239085239087,0.15856756756756765
1985-1989,0.7379574898785433,0.08433603238866398,0.16760323886639683
1990-1994,0.7460349794238688,0.0813950617283951,0.16639094650205732
1995-1999,0.7507605932203391,0.08583474576271181,0.15918644067796606
2000-2004,0.761026422764228,0.08946341463414632,0.1474369918699186
2005-2009,0.7693250517598341,0.08980124223602483,0.14087577639751545
2010-2014,0.7528340080971663,0.0951578947368422,0.15206275303643732
